text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Wie können Sie gegen die Anwendung von Gentechniken in der Landwirtschaft aktiv werden? 
#gentechfrei… https://t.co/r7RAif6mRn",FALSE,1,,2021-04-29T14:15:23Z,TRUE,,1387772506568863746,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SAG_Gentechfrei,1,FALSE,FALSE,,
RT @swisscleantechD: Erste Inserate des Wirtschaftskomitees @CO2GesetzJa  in der Sonntagspresse 💪Die Schweizer Wirtschaft will Verantwortun…,FALSE,0,,2021-04-29T13:09:56Z,FALSE,,1387756033217548301,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SchallerDaniel,10,TRUE,FALSE,,
@SchutzfaktorM @chris_luethi @Blickch für ein JA zum #JaCO2Gesetz ist kein vorwand haarsträubendst genug • trotzdem… https://t.co/dHUzmHzfsQ,FALSE,2,SchutzfaktorM,2021-04-28T05:57:54Z,TRUE,1387274962159931393,1387284923434815490,2887897432,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sebastian_hefti,0,FALSE,FALSE,,
"RT @swisscleantechD: Verantwortung übernehmen für Gesellschaft und Umwelt. Heute tun, was auch morgen noch richtig ist. John Häfelfinger, C…",FALSE,0,,2021-04-27T07:36:35Z,FALSE,,1386947368839524353,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",somposts,1,TRUE,FALSE,,
"Verantwortung übernehmen für Gesellschaft und Umwelt. Heute tun, was auch morgen noch richtig ist. John Häfelfinger… https://t.co/yIhBr1eL3P",FALSE,7,,2021-04-27T07:00:39Z,TRUE,,1386938325437751296,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",swisscleantechD,1,FALSE,FALSE,,
RT @NeinCo2Gesetz: Besonders die Landwirtschaft wird unterm CO2-Gesetz leiden. Preissteigerungen werden wir alle bezahlen müssen. Deshalb N…,FALSE,0,,2021-04-29T19:28:35Z,FALSE,,1387851324226686977,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PeterSchaerli,6,TRUE,FALSE,,
"RT @NeinCo2Gesetz: KMU-feindlich: Eine Bäckerei muss rund 1'600 Kilogramm Brot verkaufen, um die massiven Mehrkosten des missratenen CO2-Ge…",FALSE,0,,2021-04-29T19:14:48Z,FALSE,,1387847855386374152,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",uwe64_schwarz,9,TRUE,FALSE,,
RT @NeinCo2Gesetz: ✅ Fazit: Die Befürworter haben keine vernünftigen Argumente und überbieten sich mit Fake News und Halbwahrheiten. Dagege…,FALSE,0,,2021-04-29T18:53:57Z,FALSE,,1387842607498371082,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PeterSchaerli,5,TRUE,FALSE,,
"RT @Co2GesetzNein: Wir wollen eine liberale Umweltpolitik, welche diesen Namen auch verdient. Deshalb sagen wir am 13. Juni 2021 Nein zu no…",FALSE,0,,2021-04-29T18:51:37Z,FALSE,,1387842021755346945,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LisaWitzig55,20,TRUE,FALSE,,
"RT @NeinCo2Gesetz: #Medienkonferenz #Bundesrat. Missratenes CO2-Gesetz Nein!

Um Investitionen auszulösen, möchten Herr Cavigelli und Frau…",FALSE,0,,2021-04-29T18:50:53Z,FALSE,,1387841838036529161,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",LisaWitzig55,2,TRUE,FALSE,,
