,file,sentences_sample,sentiment_label,sentiment_score
0,TA_07.05.2021.txt,"Das Argument, die Vorlage belaste den Mittelstand, verfngt sogar beim politischen Gegner. Bei der SRG-Umfrage zeichnet sich eine deutliche Zustimmung im linken Lager ab. Richtig tief ist der Graben bei der GLP: Dort widersetzen sich 70 Prozent der Nein-Parole. Allerdings sei ein Zustimmungswert von 54 Prozent fr eine Initiative zu Beginn einer Abstimmungskampagne eher tief, wie der Politologe Fabio Wasserfallen nach der Tamedia-Umfrage erklrte: Erfahrungsgemss starten Volksinitiativen mit einem Vorsprung in",NEGATIVE,0.9895904660224915
1,TA_04.06.2021.txt,"Er selber denkt dabei etwa an die Zielvereinbarungen, welche Firmen so auch nach einem Nein nach wie vor abschliessen knnten. Budget: 150 Tonnen pro Kopf
Die Eile wird von den Gegnern der Gesetzesvorlage oft als berstrzt taxiert. Dafr drfen sie den Treibstoff um maximal 5 Rappen pro Liter verteuern; in Wirklichkeit sind es 1,5. Bei den Gebuden hapert es bislang mit der Modernisierung. Gebude
Bei einem Nein knnten Hausbesitzer eine alte l- oder Gasheizung ohne weiteres wieder durch eine fossile Anlage ersetz",NEGATIVE,0.9957060217857361
2,NZZ_21.05.2021.txt,"Er sagt, die Klimabewegung in der Romandie werde von Tamburinis SolidartS gekapert und ideologisiert. Vor fast zwei Jahren stand Patt im Klimaraum in Zrich, die Klimajugend hatte eingeladen, ihn und alle anderen Forscher in der Schweiz, die zum Klima arbeiten. Patt studiert andere Indikatoren. Und ab und zu hrt er sie dort reden, bis spt in die Nacht. Und, wie fhlst du dich?, fragt er die Frau.",NEGATIVE,0.9874799847602844
3,TA_21.05.2021_Art_3.txt,"Zu grsseren Aktionen kam es in Zrich, Bern und Lausanne. In Chur riefen verschiedene Organisationen in einer gemeinsamen Aktion zu einem Wandel in der Klimapolitik auf. Angesichts der sich intensivierenden Klimakrise forderten die Klimastreikenden ein umgehendes, entschiedenes Handeln. Klimastreikende, Gewerkschaften, feministische Kollektive, Nichtregierungsorganisationen, kirchlich und friedenspolitische Gruppen sowie Lokalgruppen htten auf diverse Aspekte der Klimakrise aufmerksam gemacht und zusammen ei",NEGATIVE,0.9876585602760315
4,TA_18.05.2021.txt,"Eine Ablehnung des CO2-Gesetzes wre allein der Sieg der Erdlkonzerne. In den Konzernzentralen von Syngenta und Bayer-Monsanto ist die Nervositt wegen der zwei Pestizidinitiativen gross. Weil sich zunchst keine politische Kraft fr eine Abstimmung einspannen lassen wollte, lancierte der Brennund Treibstoffverband Avenergy Suisse gleich selbst das Referendum und fand einzig die SVP als vorgeschobene politische Kraft. Die kleine Schweiz ist fr diese lgiganten nicht bedeutend. Niemand muss auf Wrmekomfort verzic",NEGATIVE,0.9903813004493713
5,NZZ_31.05.2021.txt,"16 Jahre spter tritt die UNO-Rahmenkonvention ber den Klimawandel in Kraft, die in ihrem Artikel 2 verlangt, dass eine gefhrliche menschengemachte Einwirkung auf das Klimasystem verhindert werden muss. Die kostspieligen und tragischen Konsequenzen haben wir whrend der Corona-Pandemie in denjenigen Lndern vorgefhrt bekommen, wo die Wissenschaft nicht gehrt oder zurckgebunden wurde. Hier gilt wie im Alltag: Nur wenige halten sich freiwillig an Verkehrsregeln, niemand zahlt ungefragt Steuern. Zum Klartext gehr",NEGATIVE,0.993549644947052
6,TA_17.05.2021.txt,"Tages-Anzeiger, 17.05.2021
Debatte
Gastbeitrag
Klimagerechtigkeit geht uns alle an
Die Schweiz ist privilegiert, wenn es um die Auswirkungen des Klimawandels geht. Das CO2-Gesetz, ber das die Schweiz am 13. Es ist an der Zeit, dass auch wir die Verantwortung fr unser Handeln bernehmen. Ohne sich dessen bewusst zu sein, spielt sie eine Rolle als Teil der Lsung. Das ist ein Fall von unzhligen, die die Klima-Ungerechtigkeit auf den Punkt bringen: Nasima Begum und ihre Vorfahren haben mit ihrem bescheidenen Leb",NEGATIVE,0.9871763586997986
7,TA_13.04.2021.txt,"Selbst in diesem Fall drfte es noch schwierig werden, die Halbierung zu schaffen. Will die Schweiz eine Chance haben, dieses Ziel zu erreichen, muss das Stimmvolk am 13. Einzig in der Landwirtschaft und bei den synthetischen Treibhausgasen zeigte der Pfeil leicht nach unten. Dies liegt insbesondere am Verkehr, dessen Emissionen noch immer ein Prozent ber dem Stand von 1990 liegen. Stefan Hne 
Der Treibhausgasausstoss sinkt in der Schweiz  wie schon in den Vorjahren.",NEGATIVE,0.990126371383667
8,TA_05.06.2021_Art_2.txt,"Chancenlos, von zu vielen Seiten angegriffen und kritisiert. Eine Rckkehr in die schlechte alte Zeit. Es knnte sein, dass sich diese Menschen in ein paar Monaten mit einer gewissen Sehnsucht an diese Zeit zurckerinnern werden. Und zwar solche mit konkreten politischen Konsequenzen. Die beiden ersten Jahre nach dem linksgrnen Sieg im Herbst 2019 gehrten: Links-Grn.",NEGATIVE,0.986825168132782
9,NZZ_03.06.2021_Art_2.txt,"Oder zeigt er exemplarisch die Orientierungslosigkeit der FDP in Umweltfragen? Im Nationalrat stimmte Wasserfallen noch gegen die Initiative. Drei enthielten sich, aber kein FDP-Politiker war fr das Volksbegehren. Ein Nein bietet die Chance, wieder auf den liberalen Pfad der Tugend zurckzukehren, sagt der Nationalrat. Die Trinkwasserinitiative folgt daher durchaus einem liberalen Ansatz, so der Nationalrat.",NEGATIVE,0.9922621250152588
